Id,Disease Type
aphid_0.png,Aphid
aphid_1.png,Aphid
aphid_10.png,Aphid
aphid_100.png,Aphid
aphid_101.png,Aphid
aphid_102.png,Aphid
aphid_103.png,Aphid
aphid_104.png,Aphid
aphid_105.png,Aphid
aphid_106.png,Aphid
aphid_107.png,Aphid
aphid_108.png,Aphid
aphid_109.png,Aphid
aphid_11.png,Aphid
aphid_110.png,Aphid
aphid_111.png,Aphid
aphid_112.png,Aphid
aphid_113.png,Aphid
aphid_114.png,Aphid
aphid_115.png,Aphid
aphid_116.png,Aphid
aphid_117.png,Aphid
aphid_118.png,Aphid
aphid_119.png,Aphid
aphid_12.png,Aphid
aphid_120.png,Aphid
aphid_121.png,Aphid
aphid_122.png,Aphid
aphid_123.png,Aphid
aphid_124.png,Aphid
aphid_125.png,Aphid
aphid_126.png,Aphid
aphid_127.png,Aphid
aphid_128.png,Aphid
aphid_129.png,Aphid
aphid_13.png,Aphid
aphid_130.png,Aphid
aphid_131.png,Aphid
aphid_132.png,Aphid
aphid_133.png,Aphid
aphid_134.png,Aphid
aphid_135.png,Aphid
aphid_136.png,Aphid
aphid_137.png,Aphid
aphid_138.png,Aphid
aphid_139.png,Aphid
aphid_14.png,Aphid
aphid_140.png,Aphid
aphid_141.png,Aphid
aphid_142.png,Aphid
aphid_143.png,Aphid
aphid_144.png,Aphid
aphid_145.png,Aphid
aphid_146.png,Aphid
aphid_147.png,Aphid
aphid_148.png,Aphid
aphid_149.png,Aphid
aphid_15.png,Aphid
aphid_150.png,Aphid
aphid_151.png,Aphid
aphid_152.png,Aphid
aphid_153.png,Aphid
aphid_154.png,Aphid
aphid_155.png,Aphid
aphid_156.png,Aphid
aphid_157.png,Aphid
aphid_158.png,Aphid
aphid_159.png,Aphid
aphid_16.png,Aphid
aphid_160.png,Aphid
aphid_161.png,Aphid
aphid_162.png,Aphid
aphid_163.png,Aphid
aphid_164.png,Aphid
aphid_165.png,Aphid
aphid_166.png,Aphid
aphid_167.png,Aphid
aphid_168.png,Aphid
aphid_169.png,Aphid
aphid_17.png,Aphid
aphid_170.png,Aphid
aphid_171.png,Aphid
aphid_172.png,Aphid
aphid_173.png,Aphid
aphid_174.png,Aphid
aphid_175.png,Aphid
aphid_176.png,Aphid
aphid_177.png,Aphid
aphid_178.png,Aphid
aphid_179.png,Aphid
aphid_18.png,Aphid
aphid_180.png,Aphid
aphid_181.png,Aphid
aphid_182.png,Aphid
aphid_183.png,Aphid
aphid_184.png,Aphid
aphid_185.png,Aphid
aphid_186.png,Aphid
aphid_187.png,Aphid
aphid_188.png,Aphid
aphid_189.png,Aphid
aphid_19.png,Aphid
aphid_190.png,Aphid
aphid_191.png,Aphid
aphid_192.png,Aphid
aphid_193.png,Aphid
aphid_194.png,Aphid
aphid_195.png,Aphid
aphid_196.png,Aphid
aphid_197.png,Aphid
aphid_198.png,Aphid
aphid_199.png,Aphid
